alert_id,transaction_id,alert_timestamp,rule_triggered,risk_score,reviewer_status,resolution
ALT-e9555c20,TXN-0a5a8b82,2025-12-06 22:21:51,Impossible Travel,79,Unassigned,False Positive (Legit)
ALT-7a209284,TXN-6f57acb9,2025-10-17 23:58:22,Impossible Travel,82,Unassigned,False Positive (Legit)
ALT-7e6272e7,TXN-bcc6ea01,2025-06-05 12:51:30,High Velocity,74,Unassigned,Unresolved
ALT-00927b67,TXN-698e91f3,2025-02-07 11:50:04,High Value,85,In Review,Unresolved
ALT-37335ef6,TXN-97bc7768,2025-02-28 18:06:08,High Value,75,Unassigned,Unresolved
ALT-68968dbf,TXN-0d86c019,2025-12-25 18:08:45,Impossible Travel,53,Closed,True Positive (Fraud)
ALT-20f261d8,TXN-cbd9c9da,2025-10-30 23:26:13,Impossible Travel,59,Closed,False Positive (Legit)
ALT-abf74851,TXN-5ea45096,2025-12-30 09:02:33,High Value,57,Closed,False Positive (Legit)
ALT-a704d93c,TXN-829e4581,2025-05-06 10:36:50,Impossible Travel,72,Unassigned,True Positive (Fraud)
ALT-cd846168,TXN-010859e5,2025-01-10 21:44:54,VPN Detected,87,Unassigned,Unresolved
ALT-e13a2f35,TXN-c9ae7ad6,2025-01-18 17:34:46,High Velocity,70,Unassigned,Unresolved
ALT-6eac1da6,TXN-c0eaaa1c,2025-06-02 19:44:49,Impossible Travel,67,Unassigned,False Positive (Legit)
ALT-96d1e7b3,TXN-9c60aa66,2025-09-12 23:57:29,High Velocity,58,Unassigned,Unresolved
ALT-df151ac0,TXN-7ef25eb1,2025-03-22 08:26:00,Impossible Travel,74,In Review,False Positive (Legit)
ALT-bf05a90d,TXN-35176003,2025-02-21 04:26:48,High Value,72,In Review,False Positive (Legit)
ALT-8ac2e94e,TXN-e0fe8f97,2025-08-04 14:14:31,Impossible Travel,55,Closed,False Positive (Legit)
ALT-572fa3fe,TXN-0da99474,2025-04-16 19:44:55,Impossible Travel,93,In Review,False Positive (Legit)
ALT-71b6dab9,TXN-e78897f4,2025-12-19 18:09:01,Impossible Travel,78,Closed,False Positive (Legit)
ALT-c1df2b8d,TXN-d958b7d2,2025-01-20 19:41:20,High Velocity,72,In Review,False Positive (Legit)
ALT-28bed734,TXN-538f4d56,2025-12-20 13:39:32,Impossible Travel,56,Closed,Unresolved
ALT-c9603f9b,TXN-f9db1e71,2025-01-20 14:13:33,VPN Detected,89,Unassigned,True Positive (Fraud)
ALT-3bb20ff5,TXN-17c3627a,2025-06-13 19:01:15,High Velocity,87,Closed,False Positive (Legit)
ALT-c5e85350,TXN-411ac4a3,2025-11-28 06:28:54,High Velocity,67,In Review,True Positive (Fraud)
ALT-b6328a11,TXN-fb3c4de4,2025-09-01 22:33:27,VPN Detected,62,Unassigned,False Positive (Legit)
ALT-7604d426,TXN-bc872ec7,2025-11-05 10:56:09,High Value,54,In Review,True Positive (Fraud)
ALT-edfd289f,TXN-19b46d70,2025-10-31 22:21:12,High Velocity,96,Unassigned,True Positive (Fraud)
ALT-c2aea5d9,TXN-bf037cbd,2025-08-14 22:42:34,High Value,58,Closed,True Positive (Fraud)
ALT-05840b94,TXN-9337d550,2025-06-24 12:02:14,High Velocity,88,Closed,False Positive (Legit)
ALT-f77a25d7,TXN-5798d0cf,2025-12-14 13:17:57,High Value,74,Unassigned,True Positive (Fraud)
ALT-e4de1a0b,TXN-e2b774cc,2025-06-28 01:23:40,High Velocity,63,Unassigned,True Positive (Fraud)
